City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
288,Godhra,IN,22.75,73.6333,74.1,18,0,2.08,clear sky
289,Praia,CV,14.9215,-23.5087,68.54,68,75,14.97,broken clouds
290,Bengkulu,ID,-3.8004,102.2655,84.58,70,99,10.58,overcast clouds
291,Port-Gentil,GA,-0.7193,8.7815,80.82,80,99,8.7,overcast clouds
292,Culpeper,US,38.5004,-77.9664,21.11,49,8,2.62,clear sky
293,Sisimiut,GL,66.9395,-53.6735,7.48,88,100,31.25,light snow
294,Zhezkazgan,KZ,47.8043,67.7144,19.38,86,40,17.9,scattered clouds
295,Krotoszyn,PL,51.6987,17.4374,42.55,74,100,32.91,overcast clouds
296,Long Mountain,MU,-20.1431,57.5622,84.0,62,64,14.38,broken clouds
297,Pecanha,BR,-18.5486,-42.5569,63.61,95,100,1.25,overcast clouds
298,Qrendi,MT,35.8347,14.4583,52.11,61,20,9.22,few clouds
299,Dulovo,BG,43.8167,27.15,31.55,64,39,14.0,scattered clouds
300,Ormara,PK,25.2088,64.6357,72.19,63,0,6.22,clear sky
301,Carnarvon,AU,-24.8667,113.6333,86.07,62,61,18.41,broken clouds
302,Yanaul,RU,56.2719,54.9309,11.26,94,100,7.36,overcast clouds
303,Rocha,UY,-34.4833,-54.3333,59.61,91,25,5.37,scattered clouds
304,Shu,KZ,43.5983,73.7614,38.37,66,47,3.11,scattered clouds
305,Kharan,PK,28.5833,65.4167,64.54,29,8,1.92,clear sky
306,Bastia,FR,42.6667,9.3333,48.29,85,100,5.75,overcast clouds
307,Cordoba,AR,-31.4135,-64.1811,64.6,94,0,5.75,clear sky
308,Lazdijai,LT,54.2333,23.5167,33.73,93,100,19.71,light snow
309,Chisindia,RO,46.2833,22.1,32.99,92,100,6.71,light snow
310,Altamira,BR,-3.2033,-52.2064,69.71,100,100,0.83,overcast clouds
311,Touros,BR,-5.1989,-35.4608,76.1,83,100,8.59,overcast clouds
312,Tarabuco,BO,-19.1667,-64.9167,44.02,85,75,2.24,broken clouds
313,Igarka,RU,67.4667,86.5833,0.19,95,100,11.27,overcast clouds
314,Korla,CN,41.7597,86.1469,30.31,38,100,4.38,overcast clouds
315,Kovdor,RU,67.5662,30.4758,-5.19,100,67,2.33,broken clouds
316,Troitskoye,RU,52.9821,84.6757,12.85,81,40,4.5,scattered clouds
317,Yenagoa,NG,4.9247,6.2642,69.84,63,100,3.49,overcast clouds
318,San Rafael,AR,-34.6177,-68.3301,74.48,49,7,1.3,clear sky
319,Tshane,BW,-24.0196,21.8684,71.51,74,97,17.78,overcast clouds
320,Sept-Iles,CA,50.2001,-66.3821,10.06,87,100,3.0,snow
321,Marsh Harbour,BS,26.5412,-77.0636,59.79,61,87,20.65,overcast clouds
322,Mogadishu,SO,2.0371,45.3438,80.47,65,54,21.72,broken clouds
323,Vera Cruz,BR,-12.6333,-41.0333,68.05,95,100,1.36,overcast clouds
324,Svetlyy,RU,54.675,20.1347,39.25,81,92,27.76,overcast clouds
325,Aksarka,RU,66.5606,67.7975,-14.69,100,100,6.8,overcast clouds
326,Zaraza,VE,9.3503,-65.3245,72.46,79,6,6.44,clear sky
327,Shelburne,CA,44.0787,-80.2041,9.05,80,83,5.61,broken clouds
328,Komsomolskiy,UZ,40.4272,71.7189,40.42,81,84,4.61,mist
329,Lucenec,SK,48.3325,19.6671,43.41,71,77,8.99,broken clouds
330,Brokopondo,SR,4.75,-55.1667,73.13,93,40,6.6,scattered clouds
331,Coracora,PE,-15.0333,-73.7833,46.65,79,100,2.44,overcast clouds
332,Saint-Georges,GD,12.0564,-61.7485,74.82,82,29,11.56,scattered clouds
333,Kamenka,RU,51.3223,42.7678,25.79,97,97,7.52,overcast clouds
334,Changji,CN,44.0167,87.3167,5.79,85,100,4.47,mist
335,Sintea Mare,RO,46.5167,21.6,34.88,80,100,15.01,overcast clouds
336,Leshukonskoye,RU,64.8989,45.7622,7.39,96,100,5.39,overcast clouds
337,Beloha,MG,-25.1667,45.05,84.29,49,40,10.02,scattered clouds
338,Khowst,AF,33.3833,69.8833,51.4,34,2,1.59,clear sky
339,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.5,97,99,2.44,overcast clouds
340,Nouadhibou,MR,20.931,-17.0347,62.58,82,100,14.97,overcast clouds
341,Abalak,RU,58.1286,68.5944,8.55,90,100,6.55,overcast clouds
342,Libreville,GA,0.3925,9.4537,79.18,85,99,5.14,light rain
343,Albany,US,42.6001,-73.9662,5.81,53,100,15.99,overcast clouds
344,Kourou,GF,5.1552,-52.6478,78.12,90,41,5.35,scattered clouds
345,Rio Grande,BR,-32.035,-52.0986,70.05,72,9,10.89,clear sky
